STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,indic_il,Income and living conditions indicator,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2009,,20019,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2010,,20146,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2011,,21022,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2012,,21456,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2013,,21717,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2014,,22407,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2015,,22797,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2016,,23758,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2017,,24203,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2018,,24183,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2019,,24458,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),AT,Austria,2020,,24099,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2009,,17640,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2010,,17438,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2011,,18297,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2012,,18495,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2013,,19777,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2014,,19690,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2015,,20117,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2016,,21308,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2017,,20901,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2018,,21412,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2019,,22215,,b,break in time series,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BE,Belgium,2020,,22437,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2009,,5787,,,,,
dataflow,ESTAT:ILC_DI03(1.0),Mean and median income by age and sex,A,Annual,Y_GE18,18 years or over,T,Total,MED_E,Median equivalised net income,PPS,Purchasing power standard (PPS),BG,Bulgaria,2010,,5990,,,,,
