STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,age,Age class,sex,Sex,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2009,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2010,,4.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2011,,3.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2012,,3.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2013,,3.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2014,,3.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2015,,3.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2016,,2.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2017,,3.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2018,,2.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2019,,2.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,AT,Austria,2020,,2.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2009,,4.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2010,,5.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2011,,5.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2012,,5.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2013,,5.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2014,,5.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2015,,5.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2016,,5.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2017,,4.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2018,,4.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2019,,4.0,,b,break in time series,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BE,Belgium,2020,,3.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2009,,41.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2010,,45.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2011,,43.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2012,,43.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2013,,42.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2014,,32.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2015,,33.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2016,,31.1,,b,break in time series,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2017,,29.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2018,,21.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2019,,21.1,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,BG,Bulgaria,2020,,19.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2009,,9.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2010,,10.8,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2011,,10.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2012,,14.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2013,,15.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2014,,15.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2015,,14.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2016,,12.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2017,,11.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2018,,9.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2019,,8.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CY,Cyprus,2020,,7.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2009,,5.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2010,,5.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2011,,5.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2012,,6.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2013,,6.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2014,,6.1,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2015,,5.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2016,,4.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2017,,3.6,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2018,,2.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2019,,2.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,CZ,Czechia,2020,,2.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2009,,5.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2010,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2011,,5.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2012,,4.9,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2013,,5.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2014,,5.0,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2015,,4.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2016,,3.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2017,,3.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2018,,3.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2019,,2.7,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DE,Germany,2020,,5.5,,b,break in time series,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2009,,2.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2010,,2.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2011,,2.2,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2012,,2.4,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2013,,3.5,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2014,,3.3,,,,,
dataflow,ESTAT:ILC_MDDD11(1.0),Severe material deprivation rate by age and sex,A,Annual,PC,Percentage,Y_GE18,18 years or over,T,Total,DK,Denmark,2015,,3.5,,,,,
