STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,wstatus,Labour force and employment status,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2009,,6.1,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2010,,6.5,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2011,,6.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2012,,6.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2013,,6.7,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2014,,6.9,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2015,,6.9,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2016,,7.0,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2017,,7.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2018,,7.5,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2019,,7.1,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,AT,Austria,2020,,6.4,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2009,,7.5,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2010,,7.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2011,,8.2,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2012,,7.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2013,,7.7,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2014,,8.1,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2015,,8.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2016,,8.7,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2017,,9.8,,b,break in time series,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2018,,9.8,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2019,,9.8,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BE,Belgium,2020,,9.3,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BG,Bulgaria,2009,,4.8,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BG,Bulgaria,2010,,4.6,,b,break in time series,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BG,Bulgaria,2011,,4.2,,b,break in time series,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BG,Bulgaria,2012,,4.6,,,,,
dataflow,ESTAT:TESEM110(1.0),Temporary employees as percentage of the total number of employees,A,Annual,EMP_TEMP,Employed persons with temporary contract,T,Total,Y20-64,From 20 to 64 years,PC_SAL,Percentage of employees,BG,Bulgaria,2013,,5.9,,,,,
