STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2009,,4.7,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2010,,4.4,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2011,,4.2,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2012,,4.5,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2013,,5.0,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2014,,5.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2015,,5.4,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2016,,5.7,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2017,,5.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2018,,4.6,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2019,,4.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,AT,Austria,2020,,5.3,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,BE,Belgium,2009,,6.6,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,BE,Belgium,2010,,7.0,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,BE,Belgium,2011,,6.1,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,BE,Belgium,2012,,6.5,,,,,
dataflow,ESTAT:TIPSUN20(1.0),Unemployment rate - annual data,A,Annual,T,Total,Y25-74,From 25 to 74 years,PC_ACT,Percentage of population in the labour force,BE,Belgium,2013,,7.2,,,,,
